"rank","artist","song","votes","year","label","index"
"10","Tony Toni Toné","If I Had No Loot","23","1993","Wing",376
"12","US3","Cantaloop","22","1993","Blue Note",377
"13","Janet Jackson","That's the Way Love Goes","20","1993","Virgin",378
"13","Naughty by Nature","Hip Hop Hooray","20","1993","Tommy Boy",379
"13","Shaggy","Oh Carolina","20","1993","Virgin",380
"16","Cypress Hill","Insane in the Brain","19","1993","Ruffhouse/Columbia",381
"16","Porno for Pyros","Pets","19","1993","Warner Bros.",382
"18","Robin S","Show Me Love","18","1993","Big Beat/Atlantic",383
"19","Belly","Feed the Tree","17","1993","Sire/Reprise",384
"19","R.E.M.","Man on the Moon","17","1993","Warner Bros.",385
"21","Gin Blossoms","Hey Jealousy","15","1993","A&M",386
"21","Pet Shop Boys","Go West","15","1993","EMI",387
"21","RuPaul","Supermodel","15","1993","Tommy Boy",388
"24","Tag Team","Whoomp! There It Is","13","1993","Life",389
"24","Janet Jackson","If","13","1993","Virgin",390
"24","Snow","Informer","13","1993","EastWest",391
"24","R.E.M.","Everybody Hurts","13","1993","Warner Bros.",392
"1","Beck","Loser","89","1994","DGC",393
"2","Veruca Salt","Seether","46","1994","DGC",394
"3","Coolio","Fantastic Voyage","42","1994","Tommy Boy",395
"4","Warren G","Regulate","40","1994","Violator/RAL",396
"5","Beastie Boys","Sabotage","35","1994","Grand Royal",397
"6","R.E.M.","What's the Frequency, Kenneth?","30","1994","Warner Bros.",398
"7","Pavement","Cut Your Hair","29","1994","Matador",399
"8","Hole","Doll Parts","28","1994","DGC",400
"8","Liz Phair","Supernova","28","1994","Matador",401
"10","Offspring","Come Out and Play","10","1994","Phantom",402
"11","Sheryl Crow","All I Want To Do","25","1994","A&M",403
"12","Ini Kamoze","Here Comes the Hotstepper (Heartical Mix)","24","1994","Columbia",404
"12","Salt-n-Pepa","Whatta Man","24","1994","Next Plateau",405
"14","Craig Mack","Flava in Ya Ear","21","1994","Bad Boy",406
"14","Nine Inch Nails","Closer","21","1994","Nothing/TVT/Interscope",407
"16","The Cranberries","Zombie","20","1994","Island",408
"16","Hole","Miss World","20","1994","DGC",409
"18","Des'ree","You Gotta Be","19","1994","Columbia",410
"18","Madonna","Secret","19","1994","Maverick/Sire",411
"18","Soundgarden","Black Hole Sun","19","1994","A&M",412
"21","Blur","Girls & Boys","18","1994","SBK/ERG",413
"21","Freedy Johnston","Bad Reputation","18","1994","Elektra",414
"21","Mary Lou Lord","Some Jingle Jangle Morning","18","1994","Kill Rock Stars",415
"21","Pretenders","Night in My Veins","18","1994","Sire",416
"21","Snoop Doggy Dogg","Gin and Juice","18","1994","Death Row/Interscope",417
"21","Bruce Springsteen","Streets of Philadelphia","18","1994","Columbia",418
"21","Crystal Waters","100% Pure Love","18","1994","Mercury",419
"1","Coolio","Gangsta's Paradise","81","1995","MCA Soundtracks",420
"2","Edwyn Collins","A Girl Like You","48","1995","Bar/None/A&M",421
"2","Alanis Morissette","You Oughta Know","48","1995","Maverick/Reprise",422
"4","Elastica","Connection","39","1995","DGC",423
"5","TLC","Waterfalls","38","1995","LaFace",424
"6","Joan Osborne","One of Us","34","1995","Blue Gorilla/Mercury",425
"7","PJ Harvey","Down by the Water","31","1995","Island",426
"8","TLC","Creep","30","1995","LaFace",427
"9","Dionne Farris","I Know","22","1995","Columbia",428
"9","Shaggy","Boombastic","22","1995","Virgin",429
"11","Oasis","Wonderwall","21","1995","Epic",430
"12","Foo Fighters","This Is a Call","20","1995","Roswell/Capitol",431
"12","The Presidents of the United States of America","Lump","20","1995","Columbia",432
"14","Method Man","I'll Be There for You/You're All I Need To Get By (Featuring Mary J. Blige)","19","1995","Def Jam",433
"15","Foo Fighters","I'll Stick Around","17","1995","Roswell/Capitol",434
"15","Matthew Sweet","Sick of Myself","17","1995","Zoo",435
"17","Portishead","Sour Times","16","1995","London",436
"17","Seal","Kiss From a Rose","16","1995","ZTT/Sire/Warner Bros.",437
"17","Skee-Lo","I Wish","16","1995","Scotti Bros./Sunshine",438
"20","Goo Goo Dolls","Name","15","1995","Metal Blade/Warner Bros.",439
"20","Smashing Pumpkins","Bullet With Butterfly Wings","15","1995","Virgin",440
"22","Elastica","Stutter","14","1995","DGC",441
"22","Filter","Hey Man Nice Shot","14","1995","Reprise",442
"22","Garbage","Queer","14","1995","Almo Sounds",443
"22","Luniz","I Got 5 on It","14","1995","Noo Trybe",444
"1","Quad City DJs","C'mon N' Ride It (The Train)","34","1996","Atlantic/Big Beat",445
"2","Beck","Where It's At","31","1996","DGC",446
"2","Smashing Pumpkins","1979","31","1996","Elektra",447
"4","Oasis","Wonderwall","30","1996","Epic",430
"4","Pulp","Common People","30","1996","Island",449
"6","Busta Rhymes","Woo Hah!! Got You All in Check","24","1996","Elektra",450
"7","The Chemical Brothers","Setting Sun","21","1996","Astralwerks",451
"8","Beck","Devils Haircut","20","1996","DGC",452
"8","Blackstreet","No Diggity","20","1996","Interscope",453
"8","Primitive Radio Gods","Standing Outside a Broken Phone Booth With Money in My Hand","20","1996","Ergo/Columbia",454
"11","Tupac & Dr. Dre","California Love","18","1996","Death Row/Interscope",455
"12","Butthole Surfers","Pepper","17","1996","Capitol",456
"13","Everclear","Santa Monica","16","1996","Capitol",457
"13","Fugees","Ready or Not","16","1996","Ruffhouse/Columbia",458
"13","Garbage","Stupid Girl","16","1996","Almo Sounds",459
"13","Los Del Rio","Macarena (Bayside Boys Mix)","16","1996","RCA",460
"17","Sheryl Crow","If It Makes You Happy","15","1996","A&M",461
"18","The Cardigans","Lovefool","13","1996","Mercury",462
"18","Fugees","Killing Me Softly","13","1996","Ruffhouse/Columbia",463
"20","Fugees","Fu-Gee-La","12","1996","Ruffhouse/Columbia",464
"20","Nas","If I Ruled the World","12","1996","Columbia",465
"20","Oasis","Champagne Supernova","12","1996","Epic",466
"23","Eels","Novocaine for the Soul","10","1996","Dreamworks",467
"23","Everything but the Girl","Missing","10","1996","Atlantic",468
"23","Garbage","Only Happy When It Rains","10","1996","Almo Sounds",469
"23","Whitney Houston","Exhale (Shoop Shoop)","10","1996","Arista",470
"23","Rage Aginst the Machine","Bulls on Parade","10","1996","Epic",471
"23","Underworld","Born Slippy","10","1996","TVT",472
"1","Hanson","MMMBop","96","1997","Mercury",473
"2","Chumbawamba","Tubthumping","89","1997","Republic/Universal",474
"3","The Verve","Bitter Sweet Symphony","84","1997","Virgin",475
"4","Missy Misdemeanor Elliott","The Rain (Supa Dupa Fly)","70","1997","The Gold Mind, Inc./EastWest",476
"5","Blur","Song 2","60","1997","Virgin",477
"6","Cornershop","Brimful of Asha","56","1997","Luaka Bop/Warner Bros.",478
"7","The Chemical Brothers","Block Rockin' Beats","53","1997","Astralwerks",479
"8","Erykah Badu","On and On","47","1997","Universal",480
"8","Smash Mouth","Walkin' on the Sun","47","1997","Interscope",481
"10","The Notorious B.I.G. (Featuring Puff Daddy and Mase)","Mo Money Mo Problems","43","1997","Bad Boy",482
"11","Fiona Apple","Criminal","40","1997","Work",483
"12","The Notorious B.I.G.","Hypnotize","39","1997","Bad Boy",484
"13","OMC","How Bizarre","32","1997","Mercury",485
"13","White Town","Your Woman","32","1997","Virgin??Chrysalis??",486
"15","Spice Girls","Wannabe","27","1997","Virgin",487
"16","Janet Jackson","Got Til It's Gone","26","1997","Virgin",488
"16","Prodigy","Firestarter","26","1997","Virgin",489
"16","Puff Daddy","It's All About the Benjamins","26","1997","Bad Boy",490
"19","The Cardigans","Lovefool","24","1997","Mercury",462
"20","Yo La Tengo","Autumn Sweater","22","1997","Matador",492
"21","Busta Rhymes","Put Your Hands Where My Eyes Could See","21","1997","Elektra",493
"22","Timbaland and Magoo","Up Jumps Da' Boogie","19","1997","Blackground/Atlantic",494
"23","Shawn Colvin","Sunny Came Home","18","1997","Columbia",495
"23","Sugar Ray","Fly","18","1997","Atlantic",496
"25","Daft Punk","Around the World","17","1997","Virgin",497
"25","Daft Punk","Da Funk","17","1997","Virgin",498
"1","Fatboy Slim","The Rockafeller Skank","110","1998","Skint/Astralwerks",499
"2","Lauryn Hill","Doo Wop (That Thing)","102","1998","Ruffhouse/Columbia",500
"3","Beastie Boys","Intergalactic","84","1998","Grand Royal",501
"4","Madonna","Ray of Light","76","1998","Maverick/Warner Bros.",502
"5","Aaliyah","Are You That Somebody","70","1998","Atlantic",503
"6","OutKast","Rosa Parks","50","1998","LaFace",504
"7","Hole","Celebrity Skin","48","1998","Geffen",505
"8","Fastball","The Way","40","1998","Hollywood",506
"9","Jay-Z","Hard Knock Life","39","1998","Rock-a-Fella/Def Jam",507
"10","Natalie Imbruglia","Torn","35","1998","RCA",508
"11","Pras","Ghetto Supastar","34","1998","Interscope",509
"12","Big Punisher Featuring Joe","Still Not a Player","32","1998","Loud/RCA",510
"13","New Radicals","You Get What You Give","40","1998","MCA",511
"14","Brandy and Monica","The Boy Is Mine","29","1998","Arista",512
"14","Semisonic","Closing Time","29","1998","MCA",513
"16","Stardust","Music Sounds Better with You","28","1998","Roule/Virgin",514
"17","Sheryl Crow","My Favorite Mistake","27","1998","A&M",515
"18","Marilyn Manson","The Dope Show","25","1998","Nothing",516
"19","Alanis Morissette","Thank U","24","1998","Maverick/Reprise",517
"20","Jay-Z","Can I Get a . . .","22","1998","Roc-a-Fella/Def Jam",518
"21","Harvey Danger","Flagpole Sitta","21","1998","Slash",519
"22","Shania Twain","You're Still the One","20","1998","Mercury",520
"23","Propellerheads Featuring Shirley Bassey","History Repeating","19","1998","Wall of Sound import",521
"24","Barenaked Ladies","One Week","18","1998","Reprise",522
"24","Hole","Malibu","18","1998","DGC",523
"1","TLC","No Scrubs","109","1999","LaFace",524
"2","Eminem","My Name Is","66","1999","Aftermath/Interscope",525
"3","Len","Steal My Sunshine","54","1999","Epic",526
"4","Madonna","Beautiful Stranger","52","1999","Maverick",527
"5","Backstreet Boys","I Want It That Way","49","1999","Jive",528
"6","Cher","Believe","40","1999","Warner Bros.",529
"7","Smash Mouth","All Star","39","1999","Interscope",530
"8","Ricky Martin","Livin' La Vida Loca","37","1999","C2/Columbia",531
"8","The Roots","You Got Me","37","1999","MCA",532
"10","Santana Featuring Rob Thomas","Smooth","36","1999","Arista",533
"11","Kid Rock","Bawitdaba","35","1999","Atlantic/Lava",534
"12","TLC","Unpretty","34","1999","LaFace",535
"13","Fatboy Slim","Praise You","33","1999","Astralwerks",536
"14","Beck","Sexx Laws","32","1999","DGC",537
"15","Q-Tip","Vivrant Thing","30","1999","Arista",538
"16","Ol' Dirty Bastard","Got Your Money","27","1999","Astralwerks",539
"16","Rage Against the Machine","Guerrilla Radio","27","1999","Epic",540
"18","Christina Aguilera","Genie in a Bottle","25","1999","RCA",541
"19","Juvenile","Back That Azz Up","22","1999","Cash Money/Universal",542
"19","Britney Spears",". . . Baby One More Time","22","1999","Jive",543
"21","Basement Jaxx","Rendez Vu","21","1999","Astralwerks",544
"21","Limp Bizkit","Nookie","21","1999","Flip/Interscope",545
"21","Red Hot Chili Peppers","Scar Tissue","21","1999","Warner Bros.",546
"24","Moby","Honey","20","1999","V2",547
"25","B.G.","Bling Bling","19","1999","Cash Money/Universal",548
"25","Robbie Williams","Millennium","19","1999","Capitol",549
"1","OutKast","Ms. Jackson","124","2000","LaFace/Arista",550
"2","Eminem Featuring Dido","Stan","113","2000","Aftermath/Interscope",551
"3","OutKast","B.O.B.","108","2000","LaFace/Arista",552
"4","U2","Beautiful Day","99","2000","Interscope",553
"5","Madonna","Music","82","2000","Maverick/Warner Bros.",554
"6","Nelly","(Hot Shit) Country Grammar","71","2000","Universal",555
"7","Eminem","The Real Slim Shady","68","2000","Aftermath/Interscope",556
"8","Mystikal","Shake Ya Ass","57","2000","Jive",557
"9","Destiny's Child","Say My Name","53","2000","Columbia",558
"10","Aaliyah","Try Again","45","2000","Blackground/Atlantic",559
"11","Macy Gray","I Try","42","2000","Epic",560
"12","D'Angelo","Untitled (How Does It Feel)","40","2000","Virgin",561
"13","Britney Spears","Oops, I Did It Again","35","2000","Jive",562
"14","Coldplay","Yellow","34","2000","Nettwerk America",563
"15","Jay-Z","Big Pimpin'","32","2000","Roc-A-Fella",564
"16","Sisqo","Thong Song","30","2000","Def Soul",565
"17","Common","The Light","29","2000","MCA",566
"18","Erykah Badu","Bag Lady","24","2000","MCA",567
"19","Destiny's Child","Independent Women Part 1","22","2000","Columbia",568
"20","Jay-Z","I Just Wanna Love U","21","2000","Roc-A-Fella",569
"20","M.O.P.","Ante Up","21","2000","Loud",570
"22","Bob Dylan","Things Have Changed","20","2000","Columbia",571
"22","David Gray","Babylon","20","2000","ATO/RCA",572
"22","'N Sync","Bye Bye Bye","20","2000","Jive",573
"23","Baha Men","Who Let the Dogs Out","19","2000","Artemis",574
"23","De La Soul","Oooh","19","2000","Tommy Boy",575
"23","Radiohead","Optimistic","19","2000","Capitol",576
"26","Dr. Dre Featuring Eminem","Forgot About Dre","18","2000","Aftermath/Interscope",577
"26","Queens of the Stone Age","Feel Good Hit of the Summer","18","2000","Interscope",578
"28","Destiny's Child","Jumpin' Jumpin'","17","2000","Columbia",579
"28","No Doubt","Simple Kind of Life","17","2000","Interscope",580
"30","DMX","Party Up (Up in Here)","16","2000","Ruff Ryders/Def Jam",581
"31","Blink 182","All the Small Things","15","2000","Interscope",582
"31","Dead Prez","Hip-Hop","15","2000","Loud",583
"31","Bruce Springsteen","American Skin","15","2000","Hard Drive",584
"34","Travis","Why Does It Always Rain on Me","14","2000","Columbia",585
"35","Bloodhound Gang","The Bad Touch","13","2000","Republic",586
"35","Dixie Chicks","Goobye Earl","13","2000","Monument",587
"35","R. Kelly","I Wish","13","2000","Jive",588
"35","Lucy Pearl","Dance Tonight","13","2000","Pookie",589
"35","Sleater-Kinney","You're No Rock n' Roll Fun","13","2000","Kill Rock Stars",590
"35","3 Doors Down","Kryptonite","13","2000","Republic",591
"1","Missy Misdemeanor Elliott","Get Ur Freak On","176","2001","The Gold Mind, Inc./Elektra",592
"2","Gorillaz","Clint Eastwood","86","2001","Virgin",593
"3","Jay-Z","Izzo (H.O.V.A.)","66","2001","Roc-A-Fella",594
"4","Alicia Keys","Fallin'","61","2001","J",595
"5","Coldplay","Yellow","54","2001","Nettwerk America",563
"5","Pink","Get the Party Started","54","2001","Arista",597
"7","Eve feat. Gwen Stefani","Let Me Blow Ya Mind","51","2001","Interscope",598
"8","Mary J. Blige","Family Affair","45","2001","MCA",599
"9","Weezer","Hash Pipe","41","2001","Geffen",600
"10","Ryan Adams","New York, New York","38","2001","Lost Highway",601
"10","Daft Punk","One More Time","38","2001","Virgin",602
"12","The Strokes","Last Night","35","2001","RCA",603
"13","Destiny's Child","Bootylicious","33","2001","Columbia",604
"14","System of a Down","Chop Suey!","30","2001","American",605
"15","Blu Cantrell","Hit 'Em Up Style","28","2001","Arista",606
"15","New Order","Crystal","28","2001","Reprise",607
"17","Basement Jaxx","Romeo","27","2001","Astralwerks/XL",608
"17","Madonna","Don't Tell Me","27","2001","Maverick/Warner Bros.",609
"17","Nelly","Ride Wit Me","27","2001","Universal",610
"20","Bubba Sparxxx","Ugly","26","2001","Beat Club/Interscope",611
"21","U2","Walk On","24","2001","Interscope",612
"22","Craig David","Fill Me In","23","2001","Wildstar / Atlantic",613
"22","Stephen Malkmus","Jenny & the Ess-Dog","23","2001","Matador",614
"24","Aerosmith","Jaded","21","2001","Columbia",615
"24","Afroman","Because I Got High","21","2001","Universal",616
"24","Daft Punk","Digital Love","21","2001","Virgin",617
"24","India.Arie","Video","21","2001","Motown",618
"24","Weezer","Island in the Sun","21","2001","Geffen",619
"29","Moby feat. Gwen Stefani","Southside (remix)","20","2001","V2",620
"30","Basement Jaxx","Where's Your Head At","19","2001","Astralwerks/XL",621
"30","Destiny's Child","Survivor","19","2001","Columbia",622
"30","Britney Spears","I'm a Slave 4 U","19","2001","Jive",623
"33","OutKast","The Whole World","18","2001","Arista",624
"33","R.E.M.","Imitation of Life","18","2001","Warner Bros.",625
"33","Sum 41","Fat Lip","18","2001","Island",626
"33","The White Stripes","Hotel Yorba","18","2001","Sympathy for the Record Industry",627
"37","The Soggy Bottom Boys","I Am a Man of Constant Sorrow","17","2001","Mercury",628
"38","N.E.R.D.","Lapdance","16","2001","Virgin",629
"39","Sunshine Anderson","Heard It All Before","15","2001","Atlantic",630
"39","Nickelback","How You Remind Me","15","2001","Roadrunner",631
"1","Missy Elliott","Work It","212","2002","Elektra",632
"2","Eminem","Lose Yourself","113","2002","Aftermath/Interscope",633
"3","Nelly","Hot in Herre","112","2002","Fo' Real/Universal",634
"4","The Hives","Hate to Say I Told You So","98","2002","Sire/Burning Heart/Epitaph",635
"5","Eminem","Without Me","90","2002","Aftermath/Interscope",636
"6","The White Stripes","Fell In Love With A Girl","72","2002","V2",637
"7","Kylie Minogue","Can't Get You Out of My Head","58","2002","Capitol",638
"8","Nirvana","You Know You're Right","57","2002","DGC",639
"9","Rapture","House of Jealous Lovers","54","2002","DFA",640
"10","Tweet","Oops (Oh My)","53","2002","Elektra",641
"11","Queens of the Stone Age","No One Knows","51","2002","Interscope",642
"12","Clipse","Grindin'","50","2002","Star Trak",643
"13","The Flaming Lips","Do You Realize??","43","2002","Warner Bros.",644
"14","Jimmy Eat World","The Middle","35","2002","DreamWorks",645
"15","Coldplay","In My Place","29","2002","Capitol",646
"15","Norah Jones","Don't Know Why","29","2002","Blue Note",647
"15","Avril Lavigne","Complicated","29","2002","Arista",648
"15","LCD Soundsystem","Losing My Edge","29","2002","DFA",649
"15","Bruce Springsteen","The Rising","29","2002","Columbia",650
"15","Vines","Get Free","29","2002","Capitol",651
"21","Nas","Made You Look","27","2002","Columbia",652
"22","Dirty Vegas","Days Go By","26","2002","Capitol",653
"22","Eminem","Cleanin' Out My Closet","26","2002","Aftermath/Interscope",654
"24","NORE","Nothing","24","2002","Def Jam",655
"25","Elvis vs JXL","A Little Less Conversation","23","2002","RCA",656
"26","Andrew W.K.","Party Hard","22","2002","Island",657
"26","Sheryl Crow","Soak Up The Sun","22","2002","A&M",658
"26","Freelance Hellraiser","The Strokes vs. Christina Aguilera (A Stroke of Genie-us)","22","2002","n/a",659
"26","Moby","We Are All Made of Stars","22","2002","V2",660
"26","No Doubt","Hella Good","22","2002","Interscope",661
"31","Truth Hurts","Addictive","21","2002","Aftermath/Interscope",662
"32","Scarface","On My Block","20","2002","Def Jam South",663
"33","Justin Timberlake","Like I Love You","19","2002","Jive",664
"33","Pink","Don't Let Me Get Me","19","2002","Arista",665
"35","Cam'ron","Oh Boy","18","2002","Roc-A-Fella/Def Jam",666
"35","Freelance Hellraiser","Smells Like Booty","18","2002","n/a",667
"35","Sean Paul","Gimme The Light","18","2002","VP",668
"38","Beck","Lost Cause","17","2002","DGC",669
"38","DJ Shadow","Six Days","17","2002","MCA",670
"38","Interpol","PDA","17","2002","Matador",671
"38","No Doubt","Hey Baby","17","2002","Interscope",672
"1","OutKast","Hey Ya!","22","2003","Arista",673
"2","Beyonce featuring Jay-Z","Crazy in Love","203","2003","Columbia",674
"3","The White Stripes","Seven Nation Army","128","2003","Third Man/V2",675
"4","Kelis","Milkshake","125","2003","Star Trak/Arista",676
"5","50 Cent","In Da Club","117","2003","G-Unit/Shady/Aftermath/Interscope",677
"6","Johnny Cash","Hurt","82","2003","Universal",678
"7","Fountains of Wayne","Stacy's Mom","74","2003","S-Curve/Virgin",679
"8","R. Kelly","Ignition (Remix)","70","2003","Jive",680
"9","Junior Senior","Move Your Feet","65","2003","Atlantic",681
"10","Panjabi MC featuring Jay-Z","Beware of the Boys (Mundian To Bach Ke)","64","2003","Sequence",682
"11","Electric Six","Danger! High Voltage","62","2003","XL",683
"12","Justin Timberlake","Rock Your Body","55","2003","Jive",684
"13","OutKast featuring Sleepy Brown","The Way You Move","52","2003","Arista",685
"14","Justin Timberlake","Cry Me a River","49","2003","Jive",686
"15","Missy Elliott","Pass That Dutch","46","2003","Elektra",687
"16","!!!","Me and Giuliani Down by the Schoolyard (A True Story)","45","2003","Touch & Go",688
"17","Lil Jon & the East Side Boyz featuring Ying Yang Twins","Get Low","42","2003","TVT",689
"18","Yeah Yeah Yeahs","Maps","41","2003","Interscope",690
"19","Strokes","12:51","39","2003","RCA",691
"20","Sean Paul","Get Busy","34","2003","VP/Atlantic",692
"21","Darkness","I Believe in a Thing Called Love","32","2003","Atlantic",693
"22","Pharrell featuring Jay-Z","Frontin'","29","2003","Star Trak/Arista",694
"23","Coldplay","Clocks","28","2003","Capitol",695
"24","Jet","Are You Gonna Be My Girl","26","2003","Elektra",696
"24","Snoop Dogg featuring Pharrell and Uncle Charlie Wilson","Beautiful","26","2003","Doggy Style/Priority/Capitol",697
"26","Lumidee","Never Leave You - Uh Ooh, Uh Oooh!","25","2003","Universal",698
"26","Rapture","House of Jealous Lovers","25","2003","Universal",640
"28","Christina Aguilera","Beautiful","24","2003","RCA",700
"28","Roots (feat. Cody Chesnutt)","The Seed (2.0)","24","2003","MCA",701
"30","Ludacris featuring Shawnna","Stand Up","23","2003","Disturbing Tha Peace/Def Jam South",702
"31","Alicia Keys","You Don't Know My Name","22","2003","J Records",703
"31","New Pornographers","The Laws Have Changed","22","2003","Matador",704
"31","The White Stripes","The Hardest Button to Button","22","2003","Third Man/V2",705
"34","Liz Phair","Why Can't I?","21","2003","Capitol",706
"34","Postal Service","Such Great Heights","21","2003","Sub Pop",707
"36","Dizzee Rascal","I Luv U","19","2003","XL",708
"36","Ted Leo/Pharmacists","Where Have All the Rude Boys Gone?","19","2003","Lookout!",709
"36","Warren Zevon","Keep Me in Your Heart","19","2003","Artemis",710
"39","R. Kelly","Step in the Name of Love (remix)","18","2003","Jive",711
"39","Radiohead","There There","18","2003","Capitol",712
"1","Franz Ferdinand","Take Me Out","145","2004","Domino",713
"2","Jay-Z","99 Problems","135","2004","Roc-A-Fella",714
"3","Usher featuring Lil Jon and Ludacris","Yeah!","121","2004","Arista",715
"4","Modest Mouse","Float On","109","2004","Epic",716
"5","Britney Spears","Toxic","102","2004","Jive",717
"6","Kanye West","Jesus Walks","92","2004","Roc-A-Fella",718
"7","Snoop Dogg Featuring Pharell","Drop It Like It's Hot","90","2004","Doggystyle/Geffen/Star Trak",719
"8","M.I.A.","Galang","82","2004","XL",720
"9","Yeah Yeah Yeahs","Maps","69","2004","Interscope",690
"10","U2","Vertigo","68","2004","Interscope",722
"11","Green Day","American Idiot","67","2004","Reprise",723
"12","Eminem","Mosh","52","2004","Interscope",724
"12","Loretta Lynn featuring Jack White","Portland Oregon","52","2004","Interscope",725
"14","Killers","Somebody Told Me","50","2004","Island",726
"15","LCD Soundsystem","Yeah","45","2004","DFA",727
"16","Gretchen Wilson","Redneck Woman","44","2004","Epic Nashville",728
"17","Walkmen","The Rat","41","2004","Record Collection",729
"18","Scissor Sisters","Take Your Mama","40","2004","Universal",730
"19","Terror Squad","Lean Back","38","2004","SRC/Universal",731
"20","Gwen Stefani","What You Waiting For?","36","2004","Interscope",732
"21","Big & Rich","Save a Horse (Ride a Cowboy)","35","2004","Warner Bros.",733
"21","Jadakiss Featuring Anthony Hamilton","Why?","35","2004","Ruff Ryders",734
"23","Alicia Keys","You Don't Know My Name","34","2004","J",703
"24","Fabolous","Breathe","32","2004","Desert Storm/Atlantic",736
"25","Von Bondies","C'mon C'mon","30","2004","Sire",737
"26","Kanye West Featuring Syleena Johnson","All Falls Down","29","2004","Roc-A-Fella",738
"27","Nina Sky featuring Jabba","Move Ya Body","27","2004","Universal",739
"28","Morrissey","First of the Gang to Die","26","2004","Attack",740
"28","Streets","Fit But You Know It","26","2004","Vice",741
"30","Twista Featuring Kanye West & Jamie Foxx","Slow Jamz","25","2004","Atlantic",742
"31","Annie","Chewing Gum","24","2004","679 import",743
"32","Annie","Heartbeat","23","2004","679 import",744
"32","Ciara Featuring Petey Pablo","Goodies","23","2004","Sho'Nuff-Musicline/LaFace/Zomba",745
"32","Kanye West","Through the Wire","23","2004","Roc-A-Fella",746
"35","Alicia Keys","If I Ain't Got You","22","2004","J",747
"36","J-Kwon","Tipsy","20","2004","So So Def",748
"37","Interpol","Slow Hands","19","2004","Matador",749
"38","Libertines","Can't Stand Me Now","18","2004","Rough Trade",750
"39","Destiny's Child","Lose My Breath","17","2004","Columbia",751
"39","Nas","Bridging the Gap","17","2004","Columbia",752
"1","Franz Ferdinand","Take Me Out","145","2005","Domino",713
"2","Jay-Z","99 Problems","135","2005","Roc-A-Fella",714
"1","Kanye West Featuring Jamie Foxx","Gold Digger","145","2005","Roc-A-Fella",755
"2","Amerie","1 Thing","133","2005","Sony Urban Music/Columbia",756
"3","Kelly Clarkson","Since U Been Gone","131","2005","RCA",757
"4","Gorillaz/De La Soul","Feel Good Inc","91","2005","Parlophone/Virgin",758
"5","Damian Jr. Gong Marley","Welcome to Jamrock","69","2005","Tuff Gong/Universal",759
"5","Gwen Stefani","Hollaback Girl","69","2005","Interscope",760
"7","Franz Ferdinand","Do You Want To","67","2005","Domino",761
"7","Madonna","Hung Up","67","2005","Maverick",762
"9","The White Stripes","My Doorbell","63","2005","V2",763
"10","Three 6 Mafia Featuring Young Buck & Eightball & MJG","Stay Fly","61","2005","Columbia",764
"11","The Game Featuring 50 Cent","Hate It or Love It","55","2005","Aftermath/G-Unit/Interscope",765
"12","LCD Soundsystem","Daft Punk Is Playing at My House","51","2005","DFA/Capitol",766
"13","Mike Jones Featuring Slim Thug & Paul Wall","Still Tippin'","50","2005","Swishahouse/Asylum/Warner Bros.",767
"14","The Killers","Mr. Brightside","42","2005","Island/IDJMG",768
"15","Missy Elliott Featuring Ciara & Fat Man","Scoop Lose Control","40","2005","Atlantic",769
"16","The Legendary K.O.","George Bush Doesn't Care About Black People","39","2005","MP3",770
