"rank","artist","song","votes","year","label","index"
"17","Kaiser Chiefs","I Predict a Riot","38","2005","Universal",771
"18","Ying Yang Twins","Wait (The Whisper Song)","37","2005","Collipark/TVT",772
"19","Mariah Carey","We Belong Together","33","2005","Island",773
"20","Common Featuring the Last Poets","The Corner","29","2005","Geffen",774
"20","Lady Sovereign","Random","29","2005","Chocolate Industries",775
"20","Brad Paisley","Alcohol","29","2005","Arista",776
"23","Bloc Party","Banquet","28","2005","Vice",777
"24","R. Kelly","Trapped in the Closet Chapter 1","27","2005","Jive",778
"24","Antony and the Johnsons","Hope There's Someone","27","2005","Secretly Canadian",779
"26","Spoon","Turn My Camera On","25","2005","Merge",780
"27","Miranda Lambert","Kerosene","24","2005","Sony Nashville",781
"27","Rihanna","Pon De Replay","24","2005","Def Jam",782
"29","M.I.A.","Galang","22","2005","XL",720
"30","Fall Out Boy","Sugar, We're Goin' Down","20","2005","Island",784
"30","System of a Down","B.Y.O.B.","20","2005","American/Columbia",785
"30","M.I.A.","Bucky Done Gun","20","2005","XL",786
"30","LCD Soundsystem","Tribulations","20","2005","DFA/Capitol",787
"34","Beck","Girl","19","2005","Interscope",788
"34","Bright Eyes","When the President Talks to God","19","2005","Saddle Creek",789
"34","Ciara Featuring Ludacris","Oh","19","2005","Sho'Nuff/Musicline/Laface/Zomba",790
"34","My Chemical Romance","Helena (So Long & Goodnight)","19","2005","Reprise",791
"34","Kanye West","Diamonds From Sierra Leone","19","2005","Roc-A-Fella",792
"39","Death Cab for Cutie","Soul Meets Body","18","2005","Atlantic",793
"39","Green Day","Boulevard of Broken Dreams","18","2005","Reprise",794
"1","Gnarls Barkley","Crazy","151","2006","Downtown/Atlantic",795
"2","T.I.","What You Know","55","2006","Grand Hustle/Atlantic",796
"3","Christina Aguilera","Ain't No Other Man","54","2006","RCA",797
"4","Justin Timberlake featuring T.I.","My Love","53","2006","Jive",798
"5","The Raconteurs","Steady, As She Goes","43","2006","V2",799
"6","Nelly Furtado featuring Timbaland","Promiscuous","41","2006","Geffen",800
"7","Justin Timberlake","Sexyback","38","2006","Jive",801
"8","Dixie Chicks","Not Ready To Make Nice","34","2006","Columbia",802
"9","Lupe Fiasco","Kick, Push","32","2006","Atlantic",803
"9","Arctic Monkeys","I Bet You Look Good on the Dancefloor","32","2006","Domino",804
"11","The Killers","When You Were Young","30","2006","Island",805
"12","My Chemical Romance","Welcome to the Black Parade","29","2006","Warner Bros.",806
"13","TV on the Radio","Wolf Like Me","27","2006","4AD/Interscope",807
"14","Hot Chip","Over and Over","25","2006","Astralwerks",808
"15","Lily Allen","Smile","21","2006","Capitol",809
"16","Shakira featuring Wyclef Jean","Hips Don't Lie","20","2006","Sony",810
"16","Prince","Black Sweat","20","2006","Universal",811
"18","Beyoncé","Irreplaceable","19","2006","Sony Urban/Columbia",812
"19","Rihanna","S.O.S","18","2006","Def Jam",813
"20","Nelly Furtado","Maneater","17","2006","Geffen",814
"21","Lily Allen","LDN","16","2006","Capitol",815
"22","Pipettes","Pull Shapes","15","2006","Memphis Industries",816
"22","Cassie","Me & U","15","2006","Bad Boy",817
"22","Band of Horses","Funeral","15","2006","Sub Pop",818
"25","Peter Bjorn and John","Young Folks","14","2006","Wichita/V2",819
"25","Kelis","Bossy","14","2006","Jive",820
"27","Cat Power","The Greatest","13","2006","Stiff/Epic",821
"27","Yeah Yeah Yeahs","Cheated Hearts","13","2006","Interscope",822
"27","Scissor Sisters","I Don't Feel Like Dancin'","13","2006","Motown/Universal",823
"27","New York Dolls","Dance Like a Monkey","13","2006","Roadrunner",824
"27","Fergie","London Bridge","13","2006","A&M",825
"27","Clipse featuring Pharrell","Mr. Me Too","13","2006","Re-Up/Zomba/Jive",826
"27","Chamillionaire featuring Krayzie Bone","Ridin'","13","2006","Universal",827
"34","Rick Ross","Hustlin'","12","2006","Def Jam",828
"34","Lady Sovereign","Love Me Or Hate Me","12","2006","Def Jam",829
"34","Corinne Bailey Rae","Put Your Records On","12","2006","Capitol",830
"34","Mary J. Blige","Be Without You","12","2006","Geffen",831
"38","Knife","We Share Our Mother's Health","11","2006","Mute",832
"38","Camera Obscura","Lloyd, I'm Ready To Be Heartbroken","11","2006","Merge",833
"38","Beyoncé","Ring The Alarm","11","2006","Sony",834
"1","Amy Winehouse","Rehab","97","2007","Universal",835
"2","Rihanna featuring Jay-Z","Umbrella","93","2007","Def Jam",836
"3","LCD Soundsystem","All My Friends","61","2007","DFA/EMI",837
"4","Feist","1234","58","2007","Cherrytree/Interscope",838
"5","Justice","D.A.N.C.E.","53","2007","Ed Banger/Downtown/Vice",839
"6","M.I.A.","Paper Planes","50","2007","XL/Interscope",840
"7","Kanye West","Stronger","48","2007","Roc-A-Fella/Def Jam",841
"8","UGK featuring Outkast","International Players Anthem","47","2007","Jive",842
"9","Peter Bjorn & John","Young Folks","42","2007","Wichita/V2",819
"10","Battles","Atlas","39","2007","Warp",844
"11","The White Stripes","Icky Thump","35","2007","Warner Bros.",845
"12","The Shins","Phantom Limb","30","2007","Sub Pop",846
"13","Arcade Fire","Keep The Car Running","26","2007","Merge",847
"14","LCD Soundsystem","Someone Great","25","2007","DFA/EMI",848
"14","Lil' Mama","Lip Gloss","25","2007","Jive",849
"16","Spoon","The Underdog","22","2007","Merge",850
"17","Grinderman","No Pussy Blues","21","2007","Anti-",851
"17","Bruce Springsteen","Radio Nowhere","21","2007","Columbia",852
"17","M.I.A.","Boyz","21","2007","XL/Interscope",853
"20","Spoon","You Got Yr. Cherry Bomb","20","2007","Merge",854
"21","Amy Winehouse","You Know I'm No Good","19","2007","Universal",855
"22","LCD Soundsystem","North American Scum","18","2007","DFA/EMI",856
"23","Modest Mouse","Dashboard","16","2007","Epic",857
"23","Alicia Keys","No One","16","2007","Sony",858
"23","R Kelly featuring T-Pain and T.I.","I'm a Flirt (Remix)","16","2007","Jive",859
"23","Avril Lavigne","Girlfriend","16","2007","RCA",860
"27","Soulja Boy","Crank That (Soulja Boy)","15","2007","Interscope",861
"27","50 Cent","I Get Money","15","2007","Shady/Aftermath/Interscope",862
"27","Kanye West featuring T-Pain","Good Life","15","2007","Roc-A-Fella/Def Jam",863
"27","Timbaland featuring Keri Hilson","The Way I Are","15","2007","Blackground/Interscope",864
"31","Arcade Fire","Intervention","14","2007","Merge",865
"32","Lily Allen","Smile","13","2007","Parlophone/EMI",809
"32","Britney Spears","Piece of Me","13","2007","Jive",867
"34","Bat For Lashes","What's a Girl to Do?","12","2007","She Bear/Echo/Parlophone",868
"34","Bruce Springsteen","Girls in their Summer Clothes","12","2007","Columbia",869
"34","Kanye West","Can't Tell Me Nothing","12","2007","Roc-A-Fella/Def Jam",870
"34","Jay-Z","Roc Boys (And the Winner Is...)","12","2007","Roc-A-Fella/Def Jam",871
"34","Bright Eyes","Four Winds","12","2007","Saddle Creek",872
"39","Against Me!","Thrash Unreal","11","2007","Sire",873
"39","Miranda Lambert","Famous In A Small Town","11","2007","Columbia",874
"1","M.I.A.","Paper Planes","107","2008","XL",840
"2","Estelle (ft. Kanye West)","American Boy","70","2008","Atlantic",876
"3","Beyoncé","Single Ladies (Put a Ring on It)","58","2008","RCA",877
"4","MGMT","Time to Pretend","53","2008","Columbia",878
"5","Lil Wayne","A Milli","50","2008","Universal",879
"6","Santogold","L.E.S. Artistes","49","2008","Warner",880
"7","Hercules and Love Affair","Blind","47","2008","Mute",881
"8","Coldplay","Viva la Vida","39","2008","Parlophone",882
"9","Kanye West","Love Lockdown","38","2008","Roc-a-Fella",883
"10","Fleet Foxes","White Winter Hymnal","32","2008","Sub Pop",884
"11","Hot Chip","Ready for the Floor","25","2008","EMI",885
"11","Portishead","Machine Gun","25","2008","Mercury",886
"13","T.I. (ft. Rihanna)","Live Your Life","23","2008","Atlantic",887
"14","Death Cab for Cutie","I Will Possess Your Heart","21","2008","Atlantic",888
"14","Rihanna","Disturbia","21","2008","Def Jam",889
"14","T.I.","Whatever You Like","21","2008","Atlantic",890
"17","Adele","Chasing Pavements","20","2008","XL",891
"17","MGMT","Electric Feel","20","2008","Columbia",892
"17","Pink","So What","20","2008","Universal",893
"20","Vampire Weekend","Oxford Comma","19","2008","XL",894
"21","TV on the Radio","Golden Age","18","2008","Interscope",895
"21","Young Jeezy (ft. Kanye West)","Put On","18","2008","Def Jam",896
"23","Duffy","Mercy","17","2008","Universal",897
"23","Lykke Li","Little Bit","17","2008","LL",898
"25","Kings of Leon","Sex on Fire","16","2008","RCA",899
"25","Ne-Yo","Closer","16","2008","Def Jam",900
"25","T.I. (ft. Jay-Z","Kanye West, and Lil Wayne), Swagger Like Us","16","2008","Roc-a-Fella",901
"25","Ting Tings","That's Not My Name","16","2008","Columbia",902
"29","Bon Iver","Skinny Love","15","2008","Jagjaguwar",903
"29","Britney Spears","Womanizer","15","2008","Zomba",904
"29","Hayes Carll","She Left Me for Jesus","15","2008","Universal",905
"29","Katy Perry","I Kissed a Girl","15","2008","EMI",906
"29","Lil' Wayne (ft. Static Major)","Lollipop","15","2008","Universal",907
"29","M83","Kim & Jessie","15","2008","Mute",908
"35","Black Kids","I'm Not Gonna Teach Your Boyfriend How to Dance With You","14","2008","Columbia",909
"35","Nick Cave and the Bad Seeds","Dig, Lazarus, Dig!!!","14","2008","Mute",910
"37","Beyoncé","If I Were a Boy","13","2008","Columbia",911
"37","Katy Perry","Hot 'N' Cold","13","2008","Capitol",912
"37","The Juan MacLean","Happy House","13","2008","DFA",913
"40","Killers","Human","12","2008","Vertigo",914
"1","Jay-Z (ft. Alicia Keys)","Empire State of Mind","89","2009","Roc Nation",916
"2","Phoenix","1901","81","2009","Glassnote",917
"3","Animal Collective","My Girls","77","2009","Domino",918
"4","Grizzly Bear","Two Weeks","66","2009","Warp",919
"5","Dirty Projectors","Stillness Is the Move","64","2009","Domino",920
"6","Yeah Yeah Yeahs","Zero","59","2009","DGC/Interscope",921
"7","Lady Gaga","Bad Romance","51","2009","Streamline/Interscope",922
"8","Girls","Lust for Life","42","2009","True Panther",923
"8","Phoenix","Lisztomania","42","2009","Glassnote",924
"10","Taylor Swift","You Belong With Me","41","2009","Big Machine",925
"11","Lady Gaga","Paparazzi","36","2009","Streamline/Interscope",926
"12","Yeah Yeah Yeahs","Heads Will Roll","29","2009","DGC/Interscope",927
"13","Lady Gaga","Poker Face","28","2009","Streamline/Interscope",928
"14","Bat for Lashes","Daniel","27","2009","Astralwerks",929
"14","Kings of Leon","Use Somebody","27","2009","RCA",930
"14","Maxwell","Pretty Wings","27","2009","Columbia",931
"17","Atlas Sound (ft. Noah Lennox)","Walkabout","24","2009","Kranky",932
"18","Kid Cudi","Day 'N' Nite","23","2009","GOOD Music/HeadBanga Muzik Group",933
"19","Black Eyed Peas","I Gotta Feeling","22","2009","Interscope",934
"19","Joy Orbison","Hyph Mngo","22","2009","Hotflush",935
"21","Big Boi (ft. Gucci Mane)","Shine Blockas","21","2009","LaFace",936
"21","Lily Allen","The Fear","21","2009","Capitol",937
"23","The Avett Brothers","I and Love and You","20","2009","American/Columbia",938
"23","The Big Pink","Dominos","20","2009","4AD",939
"23","The Pains of Being Pure at Heart","Young Adult Friction","20","2009","Slumberland/Fortuna Pop",940
"26","Camera Obscura","French Navy","19","2009","4AD",941
"26","Drake","Best I Ever Had","19","2009","Young Money/Cash Money/Universal Motown",942
"26","Grizzly Bear (ft. Michael McDonald)","While You Wait for the Others","19","2009","Warp",943
"26","Julian Casablancas","11th Dimension","19","2009","RCA",944
"26","Neko Case","This Tornado Loves You","19","2009","Anti",945
"31","Das Racist","Combination Pizza Hut and Taco Bell","18","2009","Das Racist",946
"31","Girls","Hellhole Ratrace","18","2009","True Panther",947
"31","Jay-Z (ft. Rihanna and Kanye West)","Run This Town","18","2009","Roc Nation",948
"31","The xx","Crystalised","18","2009","Young Turks",949
"35","Black Eyed Peas","Boom Boom Pow","17","2009","Interscope",950
"35","Neko Case","People Got a Lotta Nerve","17","2009","Anti",951
"37","Miley Cyrus","Party in the USA","16","2009","Hollywood",952
"37","Pearl Jam","The Fixer","16","2009","Monkeywrench",953
"37","Raekwon (ft. Ghostface Killah","Inspectah Deck and Method Man), House of Flying Daggers","16","2009","Wu",954
"1","Cee Lo Green","Fuck You!","187","2010","Elektra/Asylum",955
"2","Janelle Monáe (ft. Big Boi)","Tightrope","105","2010","Bad Boy/Wondaland Arts Society",956
"3","Robyn","Dancing on My Own","81","2010","Cherrytree/Konichiwa",957
"4","Kanye West (ft. Pusha T)","Runaway","77","2010","Def Jam/Roc-a-Fella",958
"5","Kanye West (ft. Dwele)","Power","71","2010","Def Jam/Roc-a-Fella",959
"6","Kanye West (ft. Jay-Z","Rick Ross, Nicki Minaj and Bon Iver), Monster","68","2010","Def Jam/Roc-a-Fella",960
"7","Big Boi (ft. Cutty)","Shutterbugg","59","2010","Def Jam",961
"8","Ariel Pink's Haunted Graffiti","Round and Round","48","2010","4AD",962
"9","Sleigh Bells","Rill Rill","41","2010","Mom + Pop/N.E.E.T.",963
"9","The National","Bloodbuzz Ohio","41","2010","4AD",964
"11","Arcade Fire","Sprawl II (Mountains Beyond Mountains)","37","2010","Merge",965
"11","Erykah Badu","Window Seat","37","2010","Universal Motown",966
"11","LCD Soundsystem","I Can Change","37","2010","Virgin/DFA",967
"14","Katy Perry","Teenage Dream","36","2010","Capitol",968
"15","Sade","Soldier of Love","35","2010","Epic",969
"16","Caribou","Odessa","29","2010","Merge/City Slang",970
"16","Lady Gaga (ft. Beyoncé)","Telephone","29","2010","Interscope/Cherrytree",971
"18","Eminem (ft. Rihanna)","Love the Way You Lie","28","2010","Aftermath/Shady",972
"19","Rick Ross (ft. Styles P)","B.M.F. (Blowin' Money Fast)","27","2010","Def Jam/Maybach Music",973
"20","Best Coast","Boyfriend","26","2010","Mexican Summer/Wichita",974
"20","Black Keys","Tighten Up","26","2010","Nonesuch",975
"22","Crystal Castles (ft. Robert Smith)","Not in Love","24","2010","Fiction",976
"22","Janelle Monáe","Cold War","24","2010","Bad Boy/Wondaland Arts Society",977
"24","Deerhunter","Helicopter","23","2010","4AD",978
"24","Jay Electronica","Exhibit C","23","2010","Decon",979
"26","LCD Soundsystem","Drunk Girls","22","2010","Virgin/DFA",980
"27","Katy Perry","California Gurls","21","2010","Capitol",981
"27","Yeasayer","Ambling Alp","21","2010","Secretly Canadian",982
"27","Yeasayer","O.N.E.","21","2010","Secretly Canadian",983
"30","Joanna Newsom","Good Intentions Paving Company","20","2010","Drag City",984
"30","M.I.A.","Born Free","20","2010","Interscope/N.E.E.T.",985
"30","Rihanna","Rude Boy","20","2010","Def Jam",986
"33","Arcade Fire","Ready to Start","19","2010","Merge",987
"33","Gorillaz (ft. Mos Def and Bobby Womack)","Stylo","19","2010","Virgin",988
"35","B.o.B. (ft. Bruno Mars)","Nothin' on You","18","2010","Atlantic/Grand Hustle",989
"35","Girl Unit","Wut","18","2010","Night Slugs",990
"37","Aloe Blacc","I Need a Dollar","17","2010","Stones Throw",991
"37","B.o.B. (ft. Hayley Williams)","Airplanes","17","2010","Atlantic/Grand Hustle",992
"37","Beach House","Norway","17","2010","Sub Pop",993
"37","Florence & the Machine","Dog Days Are Over","17","2010","Island/Universal",994
"1","Adele","Rolling in the Deep","116","2011","Columbia/XL",995
"2","Beyoncé","Countdown","98","2011","Columbia",996
"3","Nicki Minaj","Super Bass","95","2011","Young Money/Cash Money/Universal",997
"4","M83","Midnight City","66","2011","Mute",998
"5","Jay-Z and Kanye West","Niggas in Paris","64","2011","Def Jam/Roc-a-Fella/Roc Nation",999
"6","Azealia Banks","212","53","2011","Self-Released",1000
"7","Britney Spears","Till the World Ends","47","2011","Jive",1001
"7","Lana Del Rey","Video Games","47","2011","Stranger/Interscope",1002
"9","Adele","Someone Like You","46","2011","Columbia/XL",1003
"10","Foster the People","Pumped Up Kicks","40","2011","Startime/Columbia",1004
"10","Tyler","the Creator, Yonkers","40","2011","XL",1005
"12","tUnE-yArDs","Bizness","38","2011","4AD",1006
"13","Jay-Z and Kanye West","Otis","36","2011","Def Jam/Roc-a-Fella/Roc Nation",1007
"14","Drake","Marvin's Room","35","2011","Cash Money/Young Money/Universal",1008
"15","EMA","California","33","2011","Souterrain Transmissions",1009
"16","Frank Ocean","Novacane","32","2011","Frankocean.Tumblr.Com",1010
"16","Wild Flag","Romance","32","2011","Merge",1011
"18","Black Keys","Lonely Boy","30","2011","Nonesuch",1012
"18","Rihanna (ft. Calvin Harris)","We Found Love","30","2011","Def Jam",1013
"20","DJ Khaled (ft. Drake","Lil Wayne and Rick Ross), I'm on One","26","2011","We the Best/Terror Squad/Cash Money/Universal",1014
"20","Robyn","Call Your Girlfriend","26","2011","Cherrytree/Konichiwa",1015
"22","Cass McCombs","County Line","25","2011","Domino",1016
"23","Lady Gaga","The Edge of Glory","23","2011","Interscope",1017
"24","Kreayshawn","Gucci Gucci","22","2011","Columbia",1018
"24","Lil Wayne (ft. Cory Gunz)","6 Foot 7 Foot","22","2011","Cash Money/Young Money/Universal",1019
"26","Bon Iver","Holocene","21","2011","Jagjaguwar",1020
"26","Lady Gaga","Born This Way","21","2011","Interscope",1021
"28","Das Racist","Michael Jackson","20","2011","Greedhead",1022
"29","Lykke Li","Get Some","19","2011","LL/Atlantic",1023
"30","LMFAO","Party Rock Anthem","18","2011","Interscope",1024
"30","Pistol Annies","Hell on Heels","18","2011","Columbia Nashville",1025
"30","Real Estate","It's Real","18","2011","Domino",1026
"33","Joy Formidable","Whirring","17","2011","Atlantic",1027
"34","Florence & the Machine","Shake It Out","16","2011","Universal",1028
"34","Girls","Vomit","16","2011","True Panther",1029
"34","PJ Harvey","The Words That Maketh Murder","16","2011","Vagrant",1030
"34","Radiohead","Lotus Flower","16","2011","Self-Released",1031
"34","The Rapture","How Deep Is Your Love?","16","2011","DFA",1032
"39","A$AP Rocky","Peso","15","2011","RCA/Sony",1033
"39","Battles","Ice Cream","15","2011","Warp",1034
"1","Carly Rae Jepsen","Call Me Maybe","94","2012","Interscope",1035
"2","Miguel","Adorn","56","2012","RCA",1036
"3","Usher","Climax","54","2012","RCA",1037
"4","Frank Ocean","Thinkin' 'Bout You","52","2012","Def Jam",1038
"5","Japandroids","The House That Heaven Built","47","2012","Polyvinyl",1039
"6","Taylor Swift","We Are Never Ever Getting Back Together","43","2012","Big Machine",1040
"7","Solange","Losing You","41","2012","Terrible",1041
"8","Gotye (ft. Kimbra)","Somebody That I Used to Know","39","2012","Universal Republic",1042
"9","Kanye West (ft. Big Sean","Pusha T and 2 Chainz), Mercy","38","2012","Def Jam",1043
"10","Frank Ocean","Pyramids","34","2012","Def Jam",1044
"11","Alabama Shakes","Hold On","30","2012","ATO",1045
"12","Psy","Gangnam Style","26","2012","Republic",1046
"13","Grimes","Oblivion","25","2012","4AD",1047
"14","Fun. (ft. Janelle Monae)","We Are Young","23","2012","Fueled by Ramen",1048
"15","Icona Pop (ft. Charli XCX)","I Love It","22","2012","Ten",1049
"16","Fun.","Some Nights","21","2012","Fueled by Ramen",1050
"16","Sky Ferreira","Everything Is Embarrassing","21","2012","Capitol",1051
"18","M.I.A.","Bad Girls","20","2012","Interscope",1052
"19","Bruce Springsteen","We Take Care of Our Own","19","2012","Columbia",1053
"20","Kendrick Lamar","Swimming Pools (Drank)","18","2012","Interscope",1054
"21","Drake (ft. Rihanna)","Take Care","17","2012","Cash Money/Universal",1055
"22","Frank Ocean","Bad Religion","16","2012","Def Jam",1056
"22","Ke$ha","Die Young","16","2012","RCA",1057
"22","Todd Terje","Inspector Norse","16","2012","Smalltown Supersound",1058
"25","Bruno Mars","Locked Out of Heaven","15","2012","Atlantic",1059
"25","Grimes","Genesis","15","2012","4AD",1060
"25","Kacey Musgraves","Merry Go 'Round","15","2012","Mercury Nashville",1061
"25","Nicki Minaj (ft. 2 Chainz)","Beez in the Trap","15","2012","Young Money",1062
"25","Santigold","Disparate Youth","15","2012","Atlantic",1063
"25","Tame Impala","Feels Like We Only Go Backwards","15","2012","Modular",1064
"31","Chairlift","I Belong in Your Arms","14","2012","Columbia",1065
"31","Juicy J (ft. Lil Wayne and 2 Chainz)","Bandz a Make Her Dance","14","2012","Columbia",1066
"33","Bat for Lashes","Laura","13","2012","Parlophone",1067
"33","Father John Misty","Hollywood Forever Cemetery Sings","13","2012","Sub Pop",1068
"35","First Aid Kit","Emmylou","12","2012","Wichita",1069
"35","Kendrick Lamar","Bitch, Don't Kill My Vibe","12","2012","Interscope",1070
"35","Killer Mike","Reagan","12","2012","Williams Street",1071
"35","Passion Pit","Take a Walk","12","2012","Columbia",1072
"39","Bob Dylan","Duquesne Whistle","11","2012","Columbia",1073
"39","Future","Turn on the Lights","11","2012","Epic",1074
"1","Daft Punk (ft. Pharrell Williams)","Get Lucky","117","2013","Columbia",1075
"2","Lorde","Royals","76","2013","Universal",1076
"3","Haim","The Wire","59","2013","Columbia",1077
"4","Kanye West","New Slaves","41","2013","Def Jam",1078
"4","Robin Thicke (ft. T.I. and Pharrell)","Blurred Lines","41","2013","Interscope",1079
"6","Drake (ft. Majid Jordan)","Hold On, We're Going Home","38","2013","Cash Money",1080
"7","Kanye West","Black Skinhead","37","2013","Def Jam",1081
"8","Icona Pop (ft. Charli XCX)","I Love It","34","2013","Big Beat/WEA",1049
"9","Miley Cyrus","We Can't Stop","33","2013","RCA",1083
"10","Kanye West","Bound 2","30","2013","Def Jam",1084
"11","Arcade Fire","Reflektor","27","2013","Merge",1085
"11","Justin Timberlake","Mirrors","27","2013","RCA",1086
"13","Tegan and Sara","Closer","26","2013","Warner Bros.",1087
"14","Ciara","Body Party","24","2013","Epic",1088
"15","Miley Cyrus","Wrecking Ball","23","2013","RCA",1089
"15","Phosphorescent","Song for Zula","23","2013","Dead Oceans",1090
"17","Kacey Musgraves","Follow Your Arrow","22","2013","Mercury",1091
"18","Vampire Weekend","Diane Young","20","2013","XL",1092
"19","Janelle Monáe (ft. Erykah Badu)","Q.U.E.E.N.","19","2013","Bad Boy",1093
"20","James Blake","Retrograde","18","2013","Republic",1094
"21","Disclosure (ft. Sam Smith)","Latch","17","2013","PMR",1095
"21","Migos","Versace","17","2013","Quality Control Music",1096
"21","Parquet Courts","Stoned and Starving","17","2013","What's Your Rupture?",1097
"21","Vampire Weekend","Step","17","2013","XL",1098
"25","Sky Ferreira","I Blame Myself","16","2013","Capitol",1099
"26","Macklemore & Ryan Lewis (ft. Mary Lambert)","Same Love","15","2013","Macklemore",1100
"26","Superchunk","Me & You & Jackie Mittoo","15","2013","Merge",1101
"28","Big Sean (ft. Kendrick Lamar and Jay Electronica)","Control","14","2013","Good Music",1102
"28","Chvrches","The Mother We Share","14","2013","Glassnote",1103
"28","Mariah Carey (ft. Miguel)","#Beautiful","14","2013","Island",1104
"28","Neko Case","Man","14","2013","Anti",1105
"28","Pusha T","Numbers on the Boards","14","2013","Def Jam",1106
"33","David Bowie","Where Are We Now?","13","2013","Columbia",1107
"33","Katy Perry","Roar","13","2013","Capitol",1108
"35","Courtney Barnett","Avant Gardener","12","2013","House Anxiety/Marathon Artists",1109
"35","Drake","Started From the Bottom","12","2013","Cash Money",1110
"35","Kanye West","Blood on the Leaves","12","2013","Def Jam",1111
"35","Rich Homie Quan","Type of Way","12","2013","Def Jam",1112
"35","Vampire Weekend","Hannah Hunt","12","2013","XL",1113
"40","Autre Ne Veut","Play by Play","11","2013","Mexican Summer",1114
"1","Future Islands","Seasons (Waiting on You)","75","2014","4AD",1115
"2","FKA Twigs","Two Weeks","60","2014","Young Turks",1116
"3","Taylor Swift","Blank Space","59","2014","Big Machine",1117
"4","Taylor Swift","Shake It Off","53","2014","Big Machine",1118
"5","Kendrick Lamar","I","51","2014","Interscope",1119
"6","ILoveMakonnen (ft. Drake)","Tuesday","45","2014","OVO",1120
"7","Sia","Chandelier","41","2014","RCA",1121
"8","Charli XCX","Boom Clap","38","2014","Atlantic",1122
"9","Beyoncé (ft. Chimamanda Ngozi Adichie)","***Flawless","36","2014","Columbia",1123
"9","DJ Snake (ft. Lil Jon)","Turn Down for What","36","2014","Columbia",1124
"11","Flying Lotus (ft. Kendrick Lamar)","Never Catch Me","35","2014","Warp",1125
"11","Perfume Genius","Queen","35","2014","Matador",1126
"13","Pharrell Williams","Happy","32","2014","Columbia",1127
"14","St. Vincent","Digital Witness","31","2014","Loma Vista",1128
"15","Sam Smith","Stay With Me","29","2014","Capitol",1129
"16","Future (ft. Pharrell","Pusha T and Casino), Move That Dope","28","2014","Epic",1130
"17","Alvvays","Archie, Marry Me","26","2014","Polyvinyl",1131
"17","Run the Jewels (ft. Zack de la Rocha)","Close Your Eyes (and Count to Fuck)","26","2014","Mass Appeal",1132
"17","The War on Drugs","Red Eyes","26","2014","Secretly Canadian",1133
"17","tUnE-yArDs","Water Fountain","26","2014","4AD",1134
"21","Beyoncé (ft. Jay-Z)","Drunk in Love","25","2014","Columbia",1135
"21","Caribou","Can't Do Without You","25","2014","Merge",1136
"23","Mark Ronson (ft. Bruno Mars)","Uptown Funk","24","2014","Sony",1137
"23","Meghan Trainor","All About That Bass","24","2014","Epic",1138
"25","Tinashe (ft. Schoolboy Q)","2 On","23","2014","RCA",1139
"26","Ariana Grande (ft. Iggy Azalea)","Problem","21","2014","Republic",1140
"26","Courtney Barnett","Avant Gardener","21","2014","Mom + Pop Music",1109
"26","Drake","0 to 100/The Catch Up","21","2014","Young Money",1142
"26","Iggy Azalea (ft. Charli XCX)","Fancy","21","2014","Island",1143
"26","Rich Gang (ft. Young Thug and Rich Homie Quan)","Lifestyle","21","2014","Cash Money",1144
"26","Sturgill Simpson","Turtles All the Way Down","21","2014","High Top Mountain",1145
"32","Dej Loaf","Try Me","19","2014","Columbia",1146
"33","Jenny Lewis","Just One of the Guys","18","2014","Warner Bros.",1147
"33","Jeremih (ft. YG)","Don't Tell 'Em","18","2014","Def Jam",1148
"33","Spoon","Do You","18","2014","Loma Vista",1149
"33","Usher","Good Kisser","18","2014","RCA",1150
"37","Beyoncé (ft. Nicki Minaj)","***Flawless (Remix)","17","2014","Columbia",1151
"37","Hozier","Take Me to Church","17","2014","Columbia",1152
"39","ILoveMakonnen","Club Goin' Up on a Tuesday","16","2014","OVO Sound",1153
"39","Sleater-Kinney","Bury Our Friends","16","2014","Sub Pop",1154
